name,pro_B12_17_1,pro_B12_17_2,pro_B12_17_3,pro_B12_21_1,pro_B12_21_2,pro_B12_21_3,nonpro_B12_1,nonpro_B12_2,nonpro_B12_3,status.in.b12_17,status.in.b12_21,status_in_nonprob12,welch.pval.b12_17.vs.parent,fold.change.17...parent,foldchange_B12_17,log2FC_B12_17,welch.pval.b12_21.vs.parent,fold.change.21...parent,foldchange_B12_21,log2FC_B12_21,pro_wt_1_1,pro_wt_1_2,pro_wt_1_3,pro_wt_3_1,pro_wt_3_2,pro_wt_3_3,nonpro_wt_1,nonpro_wt_2,nonpro_wt_3,status_in_prowt_1,status_in_prowt_1_3,status.nonpro_wt,welch.pval.wt_1.vs.parent,fold.change.wt1...parent,foldchange_wt_1,log2FC_wt_1,welch.pval.wt_3.vs.parent,fold.change.wt3...parent,foldchange_wt_3,log2FC_wt_3,adj_pval_b12_17_vs_parent,adj_pval_b12_21_vs_parent,adj_pval_wt_1_vs_parent,adj_pval_wt_3_vs_parent,welch_pval_wtprovsB12pro,adj_pval_wtprovsB12pro,fold_change_wtprovsB12pro
A0A8C2L9N9,23.67596656,22.57448825,23.71036787,23.40287922,22.44944883,23.6429097,21.80045445,21.23852343,22.64001448,in b12_17,in b12_21,not in b12,0.061497351,1.427276772,1.065193301,0.091115261,0.081253733,1.272081799,1.058104506,0.081482125,24.28359906,24.33277177,23.83690333,23.85786064,22.68153092,23.67158398,23.08866209,21.99798701,22.6795728,in wt_1,in prowt_3,not in nonpro_wt,0.022894109,1.56235075,1.069165022,0.096484546,0.168996573,0.814917876,1.036076287,0.051130233,0.185346877,0.228419564,0.09248386,0.312952458,0.146223368,0.419720966,0.534698212
A0A8C2LA43,26.00319453,26.44604374,25.96730057,25.78334473,26.20744404,26.16733815,24.67758226,24.12786219,22.99003491,in b12_17,in b12_21,in b12,0.03746893,2.207019828,1.092221119,0.127264959,0.042672665,2.120882523,1.088621841,0.122502886,25.96341022,25.89512966,26.15168527,26.16129136,25.9943433,25.58559574,25.51947533,25.34602625,25.41003421,in wt_1,in prowt_3,in nonpro_wt,0.005213024,0.578229787,1.022742408,0.032442828,0.093575702,0.488564872,1.019215789,0.027459532,0.147912051,0.164949677,0.04127471,0.217392986,0.306439855,0.576669733,-0.137201702
A0A8C2LBJ2,26.73121718,27.12236068,27.03835517,26.90961278,26.3813845,26.70628713,28.36241853,28.12044758,28.0488271,in b12_17,in b12_21,in b12,0.001632907,-1.213253393,0.956942065,-0.063496511,0.002398798,-1.5114696,0.946358477,-0.079541321,27.7726832,27.49337772,27.42105621,27.36849604,27.83835141,27.94486722,30.4923137,29.98323215,28.33384842,in wt_1,in prowt_3,in nonpro_wt,0.08484474,-2.040759045,0.931062731,-0.103049722,0.09252884,-1.885893199,0.936294131,-0.09496628,0.032048675,0.038672718,0.200391772,0.216886356,0.000239727,0.014817879,0.824935727
A0A8C2LCR2,26.03318832,23.0832145,25.9812701,25.9288676,23.53530548,24.66120721,26.59820991,27.94685883,27.02942615,in b12_17,in b12_21,in b12,0.144704826,-2.158940657,0.920602365,-0.119349946,0.048513507,-2.4830382,0.908683289,-0.138150548,21.96846851,25.77449254,23.41460559,26.91231663,22.46785223,26.15334858,26.88806046,27.4352611,26.41079624,not in wt_1,in prowt_3,in nonpro_wt,0.09382932,-3.192183719,0.881381609,-0.182161302,0.333190271,-1.73353345,0.935583611,-0.096061506,0.287864044,0.173850284,0.211018588,0.473776166,0.686514088,0.836123115,-0.421994855
A0A8C2LCT6,26.49646747,26.20482075,26.40566061,25.38452008,26.15464674,26.12683684,25.80631496,25.30213155,22.89331496,in b12_17,in b12_21,in b12,0.197856278,1.701729122,1.068987376,0.096244816,0.305601333,1.221414068,1.049515608,0.069723622,26.28409035,25.93558932,27.04163321,26.02374296,24.46480071,25.26399801,24.30151303,24.82558798,23.08407535,in wt_1,in prowt_3,in nonpro_wt,0.024968987,2.350045507,1.097632207,0.134394719,0.161053099,1.180455105,1.04904179,0.06907215,0.344743189,0.461631932,0.097055184,0.305135953,0.48235887,0.708743184,-0.293182988
A0A8C2LCU7,24.60757753,23.87201471,24.53987351,24.69726223,25.18103549,24.81756016,21.74749142,21.91966704,22.56569942,in b12_17,in b12_21,not in b12,0.002748624,2.262202626,1.102465877,0.140734003,0.001673324,2.821000003,1.127776458,0.173481133,24.19413655,22.86132,24.73360587,24.37935594,24.58143384,24.4040393,22.20163108,21.34901666,22.75600582,in wt_1,in prowt_3,not in nonpro_wt,0.062496363,1.827469618,1.082682635,0.114610411,0.026576917,2.352725175,1.10644747,0.145934959,0.042359353,0.032884164,0.167317352,0.105512632,0.226971528,0.500254286,-0.426905355
A0A8C2LCW7,27.92822966,27.91627571,28.19667811,27.79990784,27.59218921,27.85929401,26.86249566,27.0308145,26.49231928,in b12_17,in b12_21,in b12,0.005707578,1.218518016,1.045475218,0.064158865,0.013073051,0.955253873,1.035650173,0.050536765,28.00226801,27.68177666,28.00109335,26.95229178,26.66569028,26.37154472,26.39390033,25.521312,25.98804728,in wt_1,in prowt_3,in nonpro_wt,0.008304756,1.927292803,1.074218697,0.103287737,0.093120496,0.695422389,1.026780229,0.038127422,0.055232708,0.084339336,0.05297219,0.217177257,0.093407577,0.338086905,-0.602984957
A0A8C2LDN9,23.42393221,22.27631293,21.94311324,23.05431803,23.36567005,23.13580294,23.20636129,22.15496346,22.50753322,not in b12_17,not in b12_21,not in b12,0.897696161,-0.075166529,0.996677422,-0.004801448,0.203976743,0.562311016,1.024855775,0.035420897,21.39386858,22.30684871,22.1917032,23.51708955,23.14155664,23.38620619,23.16946838,22.55726929,22.90838605,not in wt_1,in prowt_3,not in nonpro_wt,0.065274201,-0.914234414,0.960039364,-0.058834535,0.100724834,0.469909552,1.020539464,0.029331972,0.929946281,0.36545845,0.170816149,0.227312441,0.628880355,0.811569539,-0.210312755
A0A8C2LEB8,25.10343117,25.20410878,25.69206167,22.20385287,25.41011192,25.38586446,24.24927996,24.65110442,25.80856409,in b12_17,in b12_21,in b12,0.462963218,0.430217717,1.01727575,0.0247108,0.660655564,-0.569706407,0.977122965,-0.033387967,24.73382894,25.54905526,25.79633816,24.99084565,24.61563539,23.52824768,22.49405005,21.58510787,22.4496268,in wt_1,in prowt_3,not in nonpro_wt,0.001928138,3.183479211,1.143553466,0.19352382,0.018485398,2.201981335,1.099294524,0.136577966,0.58322884,0.757573278,0.024758543,0.090091841,0.955730481,0.977405115,0.035753368
A0A8C2LFT2,26.32709823,26.183488,26.46715816,26.29341009,25.68380093,26.24815403,22.6963054,21.62269838,22.5591593,in b12_17,in b12_21,not in b12,0.004828185,4.033193769,1.180919761,0.239910943,0.001741521,3.782400659,1.169669761,0.226101264,25.84826186,26.19375266,26.07760121,26.61419156,25.97315945,25.9967665,22.27874326,21.14455666,23.19978237,in wt_1,in prowt_3,not in nonpro_wt,0.020714335,3.83217781,1.172560816,0.229662751,0.013610811,3.98701174,1.179532901,0.23821566,0.051633927,0.032884164,0.086037037,0.077422632,0.60465146,0.796342897,-0.083229367
