common_wtpro_geneid_RNA,common_b12pro_geneid_RNA,background_geneid_RNA
Gorab,Gale,Bloc1s1
Gorasp2,Galnt1,Bloc1s2
Got1,Galnt7,Bloc1s4
Got2,Gas2l1,Bloc1s5
Gpank1,Gas2l3,Bloc1s6
Gpat4,Gas8,Blvra
Gpatch2,Gata4,Blzf1
Gpatch3,Gatad2a,Bmerb1
Gpatch4,Gatad2b,Bmf
Gpn2,Gbe1,Bmp1
Gpn3,Gcc2,Bmp2
Gpr156,Gcdh,Bmp2k
Gpr180,Gda,Bmp6
Gpx8,Gde1,Bmpr1a
Gramd2b,Gdi2,Bmpr2
Grin3b,Gemin2,Bmt2
Grk2,Get3,Bnc2
Grk4,Get4,Bnip2
Grk6,Gfod1,Bnip3
Grsf1,Gfod2,Bnip3l
Gsr,Gfus,Bnipl
Gtf2a2,Gin1,Boc
Gtf2b,Gins1,Bod1l1
Gtf2e1,Gins2,Bola1
Gtf2f1,Gins3,Bola2b
Gtf2f2,Gins4,Bop1
Gtf2h1,Gjb3,Bora
Gtf3c3,Gjb4,Borcs8
Gtf3c6,Gjb5,Bpgm
Gtpbp1,Glce,Bphl
Gtpbp3,Gli3,Bpnt1
Gtpbp4,Glipr1,Bpnt2
Gtse1,Glo1,Braf
Gzf1,Glrx3,Brap
H6pd,Glrx5,Brat1
Hars1,Gmnn,Brca2
Hars2,Gmpr,Brd1
Hat1,Gmps,Brd2
Haus1,Gnai2,Brd3
Haus2,Gnai3,Brd4
Haus3,Gnl1,Brd7
Haus6,Gnl2,Brd8
Haus8,Gorab,Brd9
Hax1,Gorasp1,Brf1
Hbs1l,Gorasp2,Brf2
Hdac1,Got2,Bri3bp
Hdac2,Gpam,Brinp3
Hdgf,Gpank1,Brix1
Hdgfl2,Gpatch3,Brms1
Hdlbp,Gpatch4,Brms1l
Heatr1,Gpld1,Brox
Heatr3,Gpn2,Brpf3
Heatr4,Gpn3,Brwd1
Hectd1,Gpr156,Bscl2
Hectd3,Gpr39,Bsdc1
Helb,Gpr6,Bsg
Hells,Gpx8,Bsn
Helq,Grin3b,Bst2
Herc1,Grk2,Bsx
Hif1an,Grk4,Btaf1
Hikeshi,Grk6,Btbd1
Hinfp,Gss,Btbd10
Hip1r,Gsto1_1,Btbd16
Hipk3,Gtf2a2,Btbd18
Hirip3,Gtf2b,Btbd19
Hjurp,Gtf2f1,Btbd2
Hltf,Gtf2f2,Btbd3
Hlx,Gtf2h4,Btbd6
Hm13,Gtf3c5,Btbd7
Hmcn1,Gtpbp1,Btbd9
Hmgb1,Gtpbp3,Btd
Hmgb2,Gtpbp4,Btf3
Hnrnpa1,Gtse1,Btf3l4
Hnrnpa3,Gulp1,Btg1
Hnrnpc,Hace1,Btg2
Hnrnpd,Hadh,Btrc
Hnrnpdl,Hao2,Bub1
Hnrnpm,Hars1,Bub3
Hnrnpr,Hat1,Bud13
Hnrnpu,Haus1,Bud23
Hnrnpul2,Haus2,Bud31
Homer1,Haus3,Bysl
Hps5,Haus4,Bzw1
Hras,Haus6,Bzw2
Hsd17b12,Hax1,C1d
Hsf1,Hdac1,C1galt1
Hsp90aa1,Hdac2,C1H12orf29
Hspa12a,Hdgf,C1H12orf45
Hspa14,Hdgfl2,C1H12orf66
Hspa8,Hdlbp,C1H12orf73
Hspa9,Heatr1,C1H12orf75
Hspb1,Heatr5a,C1H14orf119
Hspd1,Hectd2,C1H19orf44
Hsph1,Hectd3,C1H1orf43
Htd2,Hells,C1H4orf3
Htr1b,Hes1,C1H4orf46
Htr6,Hes6,C1H4orf47
Htra3,Hif1a,C1H6orf136
Hus1,Hip1r,C1H6orf141
Hvcn1,Hirip3,C1H6orf89
Hydin,Hjurp,C1ql3
Hyls1,Hlcs,C1qtnf12
Hypk,Hm13,C1qtnf5
Iars1,Hmcn1,C2
Icam1,Hmg20b,C2cd2
Icmt,Hmga2,C2cd2l
Idh3a,Hmgb1,C2cd3
Ifrd1,Hmgb2,C2cd6
Ifrd2,Hnf4a,C2H18orf21
Ift27,Hnrnpa1,C2H18orf32
Ift57,Hnrnpa3,C2H1orf159
Ift74,Hnrnpc,C2H22orf23
Ighmbp2,Hnrnpd,C2H5orf22
Ik,Hnrnpdl,C2H5orf34
Ikbkb,Hnrnpk,C2H5orf51
Il17d,Hnrnpm,C2H5orf63
Il1rl1,Hnrnpr,C2H6orf120
Il1rl2,Hnrnpu,C2H8orf37
Il6st,Hnrnpul2,C3
Ildr2,Hps5,C3H10orf88
Ilf2,Hras,C3H11orf58
Ilf3,Hs6st1,C3H11orf98
Ilk,Hsd17b13,C3H16orf70
Ilrun,Hsdl1,C3H16orf87
Impdh2,Hsdl2,C3H19orf53
Incenp,Hsf1,C3H5orf24
Ing1,Hsp90aa1,C3H6orf62
Ing2,Hspa14,C3H7orf25
Ing3,Hspa8,C3H9orf85
Ing5,Hspd1,C4a
Inip,Hsph1,C4bpb
Ints10,Htr1b,C4H11orf1
Ints11,Hunk,C4H11orf71
Ints12,Hyls1,C4H15orf65
Ints14,Hypk,C4H21orf91
Ints3,Icam1,C4H7orf26
Ints5,Idh1,C5H1orf112
Ints7,Idh3a,C5H1orf21
Ints8,Ier2,C5H2orf76
Intu,Ier3,C6
Ipo11,Ifi30,C6H20orf194
Ipo4,Ifngr1,C6H20orf27
Ipo5,Ifrd1,C7
Ipo7,Ifrd2,C8g
Ipo9,Ift46,C9orf72
Iqcb1,Ift57,Ca13
Iqgap3,Ift74,Ca14
Isg20l2,Ift80,Ca3
Ist1,Ift88,Ca9
Isyna1,Igsf9,Caap1
Itgb3bp,Ik,Cab39
Itpa,Ikbip,Cab39l
Itpripl1,Ikbkb,Cabin1
Ivns1abp,Il15,Cables1
Iws1,Il15ra,Cables2
Izumo4,Il17d,Cabp2
Jak2,Il19,Cabp4
Jak3,Il1r1,Cabyr
Jtb,Il1rap,Cacfd1
Kansl2,Il1rl1,Cachd1
Kars1,Il1rl2,Cacna1a
Kat2b,Il22ra1,Cacna1b
Kat5,Il6st,Cacna2d1
Kat6a,Ildr2,Cacna2d2
Katnb1,Ilf2,Cacna2d3
Katnbl1,Ilk,Cacnb3
Kcnab2,Ilkap,Cacnb4
Kdm1a,Incenp,Cactin
Kdm2a,Ing2,Cacul1
Kdm2b,Ing3,Cacybp
Kdm8,Ing5,Cadm1
Khdc4,Inip,Cadps
Khdrbs1,Ints1,Cage1
Khsrp,Ints10,Calcr
Kif14,Ints12,Cald1
Kif15,Ints14,Calhm1
Kif18a,Ints3,Calhm2
Kif20a,Ints5,Calhm3
Kif20b,Ints7,Calhm5
Kif22,Ints8,Calm1
Kif23,Ipo11,Calm2
Kif24,Ipo5,Calr
Kif2a,Ipo9,Calr3
Kif2c,Iqcb1,Calu
Kif5b,Iqgap1,Camk2g
Kifc1,Iqgap3,Camk2n2
Kin,Irak4,Camkk2
Kiz,Irs2,Camkmt
Klf14,Irx3,Camlg
Klf4,Isg20l2,Camp
Klf5,Ist1,Camsap1
Klhdc3,Isyna1,Camsap2
Klhdc4,Itga8,Camsap3
Klhl1,Itgb5,Cand1
Klhl18,Itpa,Cap1
Klhl21,Itprip,Capn1
Klhl23,Itpripl1,Capn10
Klhl25,Ivns1abp,Capn11
Klrg2,Jade1,Capn2
Kmt5b,Jak2,Capn5
Knl1,Jak3,Capn7
Knop1,Jdp2,Capn8
Knstrn,Jtb,Caprin1
Kpna3,Kansl2,Caps
Kpna4,Kansl3,Caps2
Kpna6,Kars1,Capsl
Kri1,Kat2b,Capza1
Krit1,Kat6a,Capza2
Krr1,Katnb1,Capzb
Krt80,Katnbl1,Card10
Kti12,Kazald1,Card19
L3mbtl2,Kbtbd4,Card6
Lacc1,Kdm2a,Card9
Larp1b,Khdc4,Carf
Larp4,Khsrp,Carm1
Larp7,Kiaa0825,Carmil1
Lats1,Kiaa1841,Carnmt1
Lats2,Kif14,Carns1
Lbr,Kif15,Cars1
Lcor,Kif18a,Cars2
Lctl,Kif20a,Casd1
Ldb1,Kif20b,Casp2
Ldlrap1,Kif22,Casp3
Leo1,Kif23,Casp4
Letm1,Kif24,Casp6
Letmd1,Kif2a,Casp7
Lfng,Kif2c,Casp8
Lgr5,Kif5b,Casp8ap2
Lifr,Kifc1,Casp9
Lig4,Kin,Casq1
Lin54,Klf4,Cast
Lin9,Klf5,Castor1
Llph,Klf6,Castor2
Lmbrd2,Klf7,Cat
Lmf2,Klhdc10,Catip
Lmln,Klhdc3,Catsper1
Lmnb1,Klhdc4,Catsper2
Lmnb2,Klhl18,Catsperd
Lmo2,Klhl20,Catsperz
Lmo4,Klhl23,Cav1
Lnpk,Klrg2,Cav2
LOC100750407,Kmt5b,Cavin2
LOC100750500,Knl1,Cavin3
LOC100750526,Knop1,Cavin4
LOC100750669,Knstrn,Cbarp
LOC100750822,Kpna3,Cbfa2t2
LOC100751321,Kpna4,Cbfb
LOC100751546,Kpna6,Cbl
LOC100751634,Kri1,Cblb
LOC100751910,Kti12,Cbll1
LOC100752010,L3hypdh,Cbr3
LOC100752202,L3mbtl2,Cbr4
LOC100752211,Lacc1,Cbs
LOC100752448,Lamc2,Cbx5
LOC100752761,Larp4,Cbx6
LOC100752921,Lbr,Cbx7
LOC100753071,Lcmt2,Cby1
LOC100753190,Lcp1,Cc2d1a
LOC100753320,Ldha,Cc2d1b
LOC100753866,Ldlrap1,Cc2d2a
LOC100754077,Lemd3,Ccar1
LOC100754104,Leo1,Ccar2
LOC100754108,Letm1,Ccbe1
LOC100754226,Letmd1,Ccdc102a
LOC100754361,Lgals1,Ccdc107
LOC100754560,Lgr5,Ccdc112
LOC100754572,Lhfpl2,Ccdc115
LOC100754672,Lhx9,Ccdc117
LOC100754672_1,Lig4,Ccdc12
LOC100754734,Limk2,Ccdc122
LOC100754769,Lin54,Ccdc124
LOC100754771,Lin9,Ccdc125
LOC100754792,Llph,Ccdc127
LOC100754792_1,Lmbrd1,Ccdc13
LOC100755061,Lmf2,Ccdc130
LOC100755143,Lmln,Ccdc134
LOC100755231,Lmnb1,Ccdc136
LOC100755241,Lmnb2,Ccdc138
LOC100755487,Lmo2,Ccdc14
LOC100755639,Lmo4,Ccdc146
LOC100755927,Lnpk,Ccdc15
LOC100755934,LOC100750349,Ccdc151
LOC100755978,LOC100750407,Ccdc157
LOC100756398,LOC100750500,Ccdc159
LOC100756440,LOC100750526,Ccdc162p
LOC100756505,LOC100750669,Ccdc163
LOC100756805,LOC100751321,Ccdc167
LOC100756955,LOC100751546,Ccdc17
LOC100757262,LOC100751634,Ccdc170
LOC100757491,LOC100751845,Ccdc173
LOC100757535,LOC100751910,Ccdc181
LOC100757597,LOC100752107,Ccdc183
LOC100757723,LOC100752174,Ccdc186
LOC100757746,LOC100752187,Ccdc189
LOC100757967,LOC100752211,Ccdc191
LOC100757974,LOC100752547,Ccdc194
LOC100758579,LOC100752674,Ccdc24
LOC100758601,LOC100752761,Ccdc25
LOC100758812,LOC100753071,Ccdc28a
LOC100759556,LOC100753076,Ccdc28b
LOC100759681,LOC100753190,Ccdc32
LOC100760025,LOC100753518,Ccdc34
LOC100760159,LOC100753685,Ccdc39
LOC100760251,LOC100754077,Ccdc50
LOC100760261,LOC100754361,Ccdc51
LOC100760306,LOC100754481,Ccdc58
LOC100760352,LOC100754560,Ccdc6
LOC100760563,LOC100754646,Ccdc62
LOC100760666,LOC100754672,Ccdc65
LOC100760938,LOC100754734,Ccdc66
LOC100760949,LOC100754771,Ccdc71
LOC100760951,LOC100754792,Ccdc73
LOC100761204,LOC100754792_1,Ccdc80
LOC100761339,LOC100754794,Ccdc81
LOC100761779,LOC100754813,Ccdc82
LOC100762118,LOC100755061,Ccdc85b
LOC100762336,LOC100755143,Ccdc85c
LOC100762413,LOC100755639,Ccdc86
LOC100762447,LOC100755927,Ccdc88a
LOC100762478,LOC100755978,Ccdc88b
LOC100762735,LOC100756398,Ccdc88c
LOC100762786,LOC100756430,Ccdc90b
LOC100763342,LOC100756440,Ccdc92
LOC100763702,LOC100756512,Ccdc93
LOC100763852,LOC100756544,Ccdc96
LOC100764430,LOC100756805,Ccdc9b
LOC100764696,LOC100756955,Cchcr1
LOC100764856,LOC100757262,Cckar
LOC100765350,LOC100757435,Ccl27
LOC100765388,LOC100757535,Ccm2
LOC100765393,LOC100757723,Ccn1
LOC100765403,LOC100757746,Ccn2
LOC100765463,LOC100757824,Ccna2
LOC100765487,LOC100757967,Ccnb1
LOC100765623,LOC100757974,Ccnb2
LOC100765671,LOC100758264,Ccnc
LOC100765757,LOC100758550,Ccnd1
LOC100765833,LOC100758579,Ccnd3
LOC100766053,LOC100758601,Ccndbp1
LOC100766213,LOC100758641,Ccne2
LOC100766260,LOC100758657,Ccng2
LOC100766941,LOC100758812,Ccnh
LOC100767156,LOC100759171,Ccni
LOC100767241,LOC100759388,Ccnj
LOC100767737,LOC100759681,Ccnk
LOC100767827,LOC100759732,Ccnl1
LOC100767953,LOC100760025,Ccnl2
LOC100767997,LOC100760159,Ccnt1
LOC100768011,LOC100760251,Ccnt2
LOC100768185,LOC100760261,Ccny
LOC100768487,LOC100760309,Ccnyl1
LOC100768872,LOC100760352,Ccp110
LOC100769014,LOC100760484,Ccpg1
LOC100769089,LOC100760537,Ccr4
LOC100769195,LOC100760666,Ccrl2
LOC100769250,LOC100760938,Ccs
LOC100769255,LOC100760951,Ccsap
LOC100769498,LOC100761052,Ccser2
LOC100769505,LOC100761779,Cct2
LOC100769756,LOC100762118,Cct3
LOC100770307,LOC100762252,Cct4
LOC100770363,LOC100762377,Cct5
LOC100770382,LOC100762413,Cct6a
LOC100770560,LOC100762447,Cct8
LOC100770581,LOC100762478,Cd101
LOC100770670,LOC100762656,Cd109
LOC100770709,LOC100762735,Cd151
LOC100770839,LOC100763162,Cd164
LOC100771080,LOC100763181,Cd24
LOC100771222,LOC100763249,Cd276
LOC100771351,LOC100763852,Cd28
LOC100771980,LOC100765374,Cd2ap
LOC100772005,LOC100765463,Cd2bp2
LOC100772139,LOC100765623,Cd320
LOC100772156,LOC100765671,Cd36
LOC100772499,LOC100766053,Cd44
LOC100772765,LOC100766213,Cd46
LOC100773073,LOC100766260,Cd47
LOC100773089,LOC100766272,Cd53
LOC100773141,LOC100766606,Cd59
LOC100773314,LOC100766941,Cd63
LOC100773511,LOC100767241,Cd81
LOC100773725,LOC100767706,Cd82
LOC100774067,LOC100767827,Cda
LOC100774126,LOC100768487,Cdadc1
LOC100774343,LOC100768684,Cdan1
LOC100774396,LOC100768685,Cdc123
LOC103158544,LOC100768872,Cdc14a
LOC103158615,LOC100769014,Cdc14b
LOC103158648,LOC100769089,Cdc16
LOC103159222,LOC100769195,Cdc20
LOC103159410,LOC100769255,Cdc23
LOC103159547,LOC100769505,Cdc25a
LOC103159571,LOC100769756,Cdc25b
LOC103159703,LOC100770363,Cdc25c
LOC103159924,LOC100770489,Cdc26
LOC103159937,LOC100770709,Cdc34
LOC103159982,LOC100771080,Cdc37
LOC103160057,LOC100771222,Cdc37l1
LOC103160181,LOC100771319,Cdc40
LOC103160199,LOC100771351,Cdc42
LOC103160224,LOC100771469,Cdc42bpa
LOC103160307,LOC100772005,Cdc42bpb
LOC103160587,LOC100772139,Cdc42ep1
LOC103160837,LOC100772499,Cdc42ep2
LOC103161106,LOC100772509,Cdc42se1
LOC103161370,LOC100772765,Cdc45
LOC103161536,LOC100773073,Cdc5l
LOC103161546,LOC100773095,Cdc73
LOC103161548,LOC100773300,Cdca2
LOC103161682,LOC100773381_1,Cdca4
LOC103161859,LOC100773511,Cdca5
LOC103161869,LOC100773524,Cdca7
LOC103161904,LOC100773545,Cdca8
LOC103161938,LOC100773725,Cdcp1
LOC103162111,LOC100773795,Cdh13
LOC103162260,LOC100773835,Cdh17
LOC103162397,LOC100774067,Cdh24
LOC103162410,LOC100774126,Cdh7
LOC103162439,LOC100774522,Cdh9
LOC103162587,LOC103158544,Cdhr2
LOC103162633,LOC103158648,Cdin1
LOC103162762,LOC103158664,Cdipt
LOC103162924,LOC103158727,Cdk1
LOC103163017,LOC103159135,Cdk10
LOC103163026,LOC103159222,Cdk13
LOC103163596,LOC103159571,Cdk14
LOC103164217,LOC103159579,Cdk15
LOC107976981,LOC103159593,Cdk17
LOC107977279,LOC103159647,Cdk19
LOC107977801,LOC103159905,Cdk2
LOC107977963,LOC103160117,Cdk20
LOC107978222,LOC103160199,Cdk2ap1
LOC107978467,LOC103160224,Cdk2ap2
LOC107978680,LOC103160324,Cdk4
LOC107979406,LOC103160478,Cdk5rap1
LOC107979452,LOC103160491,Cdk5rap2
LOC107979701,LOC103160587,Cdk6
LOC107979716,LOC103160811,Cdk7
LOC113830712,LOC103160929,Cdk8
LOC113830747,LOC103161026,Cdkal1
LOC113830750,LOC103161160,Cdkl1
LOC113830943,LOC103161859,Cdkl2
LOC113831253,LOC103161869,Cdkn1a
LOC113831525,LOC103161938,Cdkn1c
LOC113831977,LOC103162162,Cdkn2aip
LOC113832251,LOC103162260,Cdkn2c
LOC113832540,LOC103162377,Cdkn2d
LOC113832602,LOC103162397,Cdkn3
LOC113832635,LOC103162410,Cdnf
LOC113832674,LOC103162492,Cdo1
LOC113832681,LOC103162709,Cdon
LOC113832788,LOC103163070,Cdpf1
LOC113832836,LOC103163249,Cdr2
LOC113832887,LOC103163357,Cds1
LOC113833193,LOC103163365,Cds2
LOC113833204,LOC103163628,Cdsn
LOC113833697,LOC103164015,Cdt1
LOC113833746,LOC103164217,Cdv3
LOC113834034,LOC103164543,Cdyl
LOC113834275,LOC107976981,Cebpd
LOC113834531,LOC107976993,Cel
LOC113834615,LOC107977279,Celf1
LOC113835001,LOC107978099,Celf2
LOC113835045,LOC107978309,Celf5
LOC113835059,LOC107978467,Celsr2
LOC113835120,LOC107978535,Celsr3
LOC113835176,LOC107978895,Cemip2
LOC113835186,LOC107979406,Cenatac
LOC113835377,LOC107979452,Cenpb
LOC113835547,LOC107979522,Cenpc
LOC113835566,LOC107979678,Cenpe
LOC113835904,LOC107979701,Cenpf
LOC113836166,LOC107980007,Cenph
LOC113836375,LOC107980044,Cenpj
LOC113836434,LOC107980089,Cenpk
LOC113836537,LOC107980186,Cenpl
LOC113839374,LOC113830641,Cenpm
LOC118237656,LOC113830746,Cenpn
LOC118237705,LOC113830747,Cenpp
LOC118237966,LOC113830872,Cenpq
LOC118238071,LOC113830943,Cenpt
LOC118238253,LOC113830954,Cenpu
LOC118238274,LOC113831191,Cenpw
LOC118238290,LOC113831375,Centrin-2
LOC118238362,LOC113831379,Cep120
LOC118238466,LOC113831382,Cep126
LOC118238558,LOC113831525,Cep128
LOC118238561,LOC113831595,Cep135
LOC118238597,LOC113832035,Cep152
LOC118238601,LOC113832265,Cep162
LOC118238652,LOC113832362,Cep164
LOC118238796,LOC113832440,Cep170
LOC118238808,LOC113832540,Cep170b
LOC118238921,LOC113832636,Cep19
LOC118239052,LOC113832681,Cep192
LOC118239464,LOC113832984,Cep20
LOC118239657,LOC113833100,Cep250
Loxl4,LOC113833617,Cep290
Lrch4,LOC113833866,Cep295
Lrpprc,LOC113833947,Cep350
Lrr1,LOC113833970,Cep41
Lrrc1,LOC113834312,Cep43
Lrrc14,LOC113834383,Cep44
Lrrc41,LOC113834942,Cep55
Lrrc47,LOC113835001,Cep57
Lrrc8e,LOC113835045,Cep57l1
Lrrcc1,LOC113835120,Cep63
Lrrfip1,LOC113835123,Cep68
Lrriq4,LOC113835176,Cep70
Lrrk1,LOC113835377,Cep72
Lsg1,LOC113835467,Cep76
Lsm1,LOC113835547,Cep78
Lsm2,LOC113835597,Cep83
Lsm4,LOC113835615,Cep85
Lsm6,LOC113835634,Cep85l
Lsm8,LOC113835648,Cep97
Ltbp3,LOC113835711,Cept1
Ltn1,LOC113835924,Cerk
Ltv1,LOC113836166,Cerkl
Luzp1,LOC113836328,Cers1
Lyar,LOC113836537,Cers2
Lysmd2,LOC113839374,Cers5
Lzts2,LOC118237663,Cers6
Mab21l3,LOC118237781,Cert1
Macc1,LOC118237982,Cetn3
Maco1,LOC118238071,Cfap126
Mad1l1,LOC118238274,Cfap20
Maea,LOC118238349,Cfap20dc
Magoh,LOC118238362,Cfap251
Mak16,LOC118238430,Cfap298
Map1b,LOC118238454,Cfap36
Map3k1,LOC118238532,Cfap410
Map3k6,LOC118238536,Cfap45
Map3k7,LOC118238558,Cfap53
Map6,LOC118238561,Cfap54
Mapk1,LOC118238597,Cfap57
Mapk1ip1l,LOC118238601,Cfap61
Mapk6,LOC118238638,Cfap69
Mapre2,LOC118238796,Cfap70
Mars2,LOC118238797,Cfap97
Mastl,LOC118238799,Cfb
Maz,LOC118238903,Cfdp1
Mbd1,LOC118238939,Cfi
Mbd2,LOC118238982,Cfl1
Mbnl1,LOC118239022,Cfl2
Mcc,LOC118239109,Cflar
Mcm10,LOC118239582,Cgas
Mcm3,LOC118239588,Cggbp1
Mcm4,LOC118239657,Cgn
Mcm5,LOC118239675,Cgnl1
Mcm6,LOC118239699,Cgrrf1
Mcm7,Lpar1,Chac1
Mcm8,Lpcat4,Chac2
Mcm9,Lpin2,Chadl
Mcmbp,Lrch4,Chaf1a
Mcph1,Lrif1,Chaf1b
Mcrs1,Lrr1,Champ1
Mcub,Lrrc1,Chchd1
Mdc1,Lrrc42,Chchd10
Mdh2,Lrrc8e,Chchd3
Mdm1,Lrrcc1,Chchd5
Mdn1,Lrrfip1,Chchd7
Me2,Lrrfip2,Chcr2
Me3,Lrrk1,Chd1
Meaf6,Lsg1,Chd1l
Mecom,Lsm1,Chd2
Med10,Lsm2,Chd5
Med16,Lsm6,Chd6
Med17,Lsm8,Chd7
Med18,Lta4h,Chd8
Med19,Ltbp3,Chd9
Med26,Ltn1,Chek1
Med8,Lurap1l,Chek2
Melk,Luzp1,Cherp
Mepce,Lxn,Chfr
Metap1,Lyar,Chid1
Metap1d,Lztfl1,Chka
Metap2,Mab21l3,Chkb
Mettl1,Macir,Chml
Mettl14,Maco1,Chmp1a
Mettl17,Mad1l1,Chmp1b
Mettl5,Maea,Chmp2b
Mettl6,Magoh,Chmp4b
Mex3b,Malrd1,Chmp5
Mex3c,Man1a2,Chmp7
Mfap1,Man2a1,Chn1
Mfsd10,Map1b,Chordc1
Mga,Map1s,Chp1
Mgat2,Map3k1,Chpf
Mgme1,Map3k11,Chpt1
Mia3,Map3k5,Chrac1
Micall2,Map3k6,Chrnb2
Mief1,Map3k7,Chst10
Mier1,Map3k7cl,Chst11
Mier3,Map4,Chst12
Mir1306,Map6,Chst14
Mis18a,Mapk1ip1l,Chst15
Mis18bp1,Mapk3,Chst2
Mki67,Mapkapk5,Chst6
Mlkl,Mapre1,Chsy1
Mllt1,Mapre2,Chtf8
Mmadhc,Marcks,Chtop
Mmrn2,Mars2,Chuk
Mms22l,Masp1,Churc1
Mnd1,Mast2,Ciao1
Mns1,Mastl,Ciao2a
Mob1b,Mau2,Ciao2b
Mob2,Maz,Ciapin1
Mob3b,Mbd2,Ciart
Mocs2,Mbnl1,Cib1
Mon1a,Mboat1,Cib2
Morc3,Mcc,Cibar1
Mphosph10,Mcl1,Cideb
Mre11,Mcm10,Cilk1
Mri1,Mcm3,Cinp
Mroh2b,Mcm4,Cip2a
Mrpl20,Mcm5,Cipc
Mrpl21,Mcm6,Cir1
Mrpl32,Mcm7,Cirbp
Mrpl37,Mcm8,Cisd1
Mrpl43,Mcm9,Cisd2
Mrpl46,Mcmbp,Cish
Mrpl47,Mcph1,Cit
Mrpl49,Mcrs1,Cited2
Mrpl9,Mcub,Ckap2
Mrps10,Mdc1,Ckap2l
Mrps15,Mdga1,Ckap4
Mrps18b,Mdh2,Ckap5
Mrps2,Mdm1,Ckb
Mrps21,Me2,Cklf
Mrps22,Me3,Ckmt1b
Mrps24,Meaf6,Cks2
Mrps26,Mecom,Clasp1
Mrps27,Med10,Clasp2
Mrps28,Med16,Clba1
Mrps30,Med17,Clcc1
Mrps31,Med18,Clcf1
Mrps33,Med19,Clcn2
Mrps5,Med22,Clcn3
Mrto4,Med28,Clcn6
Msh2,Mef2c,Cldn12
Msh6,Melk,Cldn15
Msl2,Mepce,Cldn20
Mss51,Mertk,Cldnd1
Mta2,Metap1,Clec2l
Mtap,Metap2,Clhc1
Mtch2,Mettl14,Clic1
Mterf1,Mettl17,Clic4
Mterf4,Mettl6,Clip1
Mtfr1,Mettl9,Clip2
Mtfr2,Mex3c,Clk1
Mthfd1,Mfap1,Clk2
Mthfd1l,Mfn1,Clk3
Mtif2,Mfsd10,Clmp
Mtif3,Mfsd14b,Cln3
Mtmr2,Mfsd6,Cln5
Mto1,Mgme1,Cln6
Mtrex,Mgst3,Cln8
Mtrf1l,Mia3,Clns1a
Mtrr,Mical1,Clock
Mtus1,Micall2,Clp1
Mtx2,Midn,Clpb
Muc13,Mief1,Clpp
Mul1,Mier1,Clptm1l
Mutyh,Mier3,Clpx
Mybl1,Minar1,Clspn
Mybl2,Mindy3,Clstn1
Mycbp,Mios,Clstn2
Mycbp2,Mis18a,Clta
Myg1,Mis18bp1,Cltb
Mylk2,Mki67,Clu
Mynn,Mkrn1,Clybl
Myo1b,Mlkl,Cmah
Myo1g,Mllt1,Cmbl
Myof,Mmp12,Cmc1
Mypn,Mmp24,Cmc2
N4bp2,Mmp3,Cmip
Naa15,Mms22l,Cmpk1
Naa20,Mnd1,Cmss1
Naa25,Mns1,Cmtm3
Naa40,Mob3a,Cmtm4
Naa50,Mob3c,Cmtm6
Nacc1,Morc3,Cmtm7
Nadk,Mphosph10,Cmtr1
Nanp,Mpi,Cmtr2
Nans,Mppe1,Cmya5
Nap1l1,Mre11,Cnbd1
Nap1l4,Mro,Cndp2
Napb,Mrpl15,Cnep1r1
Nasp,Mrpl32,Cnga4
Nav1,Mrpl37,Cnih1
Nav2,Mrpl46,Cnih2
Naxe,Mrpl47,Cnih4
Nbl1,Mrpl49,Cnksr1
Nbn,Mrps16,Cnksr3
Ncapd3,Mrps18b,Cnn2
Ncapg,Mrps18c,Cnn3
Ncapg2,Mrps21,Cnnm3
Ncaph,Mrps22,Cnnm4
Ncaph2,Mrps24,Cnot1
Ncbp1,Mrps27,Cnot10
Nck1,Mrps31,Cnot11
Nck2,Mrps33,Cnot4
Ncl,Mrps5,Cnot6l
Ncln,Mrtfa,Cnot7
Ncoa2,Msh2,Cnot9
Ncoa5,Msh6,Cnppd1
Ndc1,Msl2,Cnpy2
Ndc80,Msrb3,Cnpy3
Ndufa5,Mta2,Cnpy4
Ndufab1,Mtap,Cnr2
Ndufaf4,Mtch1,Cnst
Ndufaf5,Mtch2,Cntf
Ndufb7,Mterf1,Cntn2
Ndufs8,Mterf4,Cobll1
Ndufv1,Mtfr2,Cog2
Ndufv3,Mtg2,Cog3
Nectin3,Mthfd1,Cog4
Nedd1,Mtif2,Cog5
Nedd4,Mtmr10,Cog6
Nedd4l,Mtmr2,Cog7
Nedd8,Mtmr6,Cog8
Nek2,Mtrex,Col11a1
Nek7,Mtrf1l,Col11a2
Nemp1,Mtrr,Col12a1
Nepro,Mtus1,Col16a1
Neu3,Mtus2,Col17a1
Nfatc2ip,Mtx2,Col18a1
Nfatc3,Mvk,Col20a1
Nfic,Mybl1,Col27a1
Nfkb2,Mybl2,Col3a1
Nfrkb,Mycbp,Col4a1
Nfx1,Myg1,Col4a2
Nfxl1,Myh9,Col5a3
Nfya,Myl6,Col6a1
Nfyc,Myo1b,Col6a2
Ngdn,Myof,Col7a1
Nifk,Myom3,Col8a1
Ninl,N4bp2,Col8a2
Nip7,Naa15,Col9a3
Nit2,Naa20,Colca2
Nkapd1,Naa25,Colec12
Nktr,Naa40,Colgalt1
Nmd3,Naa50,Colq
Nmi,Nacc1,Commd1
Nmt2,Naf1,Commd10
Nob1,Nans,Commd2
Noc2l,Nap1l4,Commd4
