common_wtpro_geneid_RNA,common_b12pro_geneid_RNA,background_geneid_RNA
Bub1,Bcl10,Ager
Bub3,Bcl2l1,Agfg1
Bud13,Bcl7c,Agfg2
Bud23,Bclaf1,Aggf1
Bud31,Bdh1,Agk
Bzw1,Bend3,Agl
Bzw2,Birc2,Ago2
C1galt1,Blm,Agpat1
C1H4orf46,Bmerb1,Agpat2
C2cd3,Bmp2,Agpat3
C2H18orf21,Bmp2k,Agpat4
C2H5orf34,Bmp6,Agpat5
C3H10orf88,Bop1,Agps
C3H11orf98,Bora,Agrn
C3H7orf25,Bpgm,Agrp
C4H7orf26,Brca2,Agtpbp1
C5H1orf112,Brd2,Agtrap
Ca3,Brf1,Ahctf1
Cab39,Brix1,Ahcy
Cacnb3,Brms1,Ahcyl1
Cactin,Btaf1,Ahcyl2
Cacul1,Btbd10,Ahdc1
Cacybp,Btbd3,Ahi1
Cadm1,Btf3,Ahnak
Camsap1,Bub1,Ahnak2
Cand1,Bub3,Ahr
Capn2,Bud13,Ahsa1
Capn7,Bud31,Ahsa2p
Caprin1,Bzw1,Ahsp
Capza1,C1galt1,Aida
Card10,C1H12orf45,Aifm2
Carm1,C1H6orf141,Aifm3
Carmil1,C2H18orf21,Aig1
Carnmt1,C2H5orf34,Aimp1
Carns1,C3H11orf58,Aimp2
Cars1,C3H5orf24,Aip
Casp2,C5H1orf112,Ajm1
Casp8,C5H1orf21,Ajuba
Casp8ap2,Caap1,Ak2
Cbfb,Cacnb3,Ak3
Cbll1,Cacnb4,Ak4
Cbx5,Cactin,Ak5
Cbx6,Cadm1,Ak6
Cbx7,Cadps,Ak9
Cc2d1b,Calhm5,Akap11
Ccar1,Calm1,Akap12
Ccdc12,Cand1,Akap13
Ccdc122,Capn10,Akap7
Ccdc186,Capn2,Akap8
Ccdc25,Capza1,Akap8l
Ccdc34,Card10,Akap9
Ccdc51,Carm1,Akip1
Ccdc58,Carmil1,Akirin1
Ccdc86,Carns1,Akirin2
Ccdc88a,Cars1,Akna
Ccn2,Casp2,Akr1a1
Ccna2,Casp3,Akr1b1
Ccnb1,Casp4,Akr1b8
Ccnb2,Casp8,Akr1e2
Ccnc,Casp8ap2,Akt1
Ccne2,Cbarp,Akt3
Ccnk,Cbfb,Aktip
Ccnyl1,Cbll1,Alad
Ccp110,Cbx5,Alas1
Ccrl2,Cbx6,Alb
Ccs,Cbx7,Alcam
Ccsap,Cc2d1b,Aldh18a1
Cct2,Cc2d2a,Aldh2
Cct3,Ccar1,Aldh4a1
Cct4,Ccdc115,Aldh5a1
Cct5,Ccdc134,Aldh6a1
Cct6a,Ccdc34,Aldh7a1
Cct8,Ccdc86,Aldh8a1
Cd2ap,Ccdc88a,Aldh9a1
Cd320,Ccn1,Aldoa
Cdadc1,Ccn2,Alg11
Cdan1,Ccna2,Alg12
Cdc123,Ccnb1,Alg2
Cdc14a,Ccnc,Alg3
Cdc16,Ccnd3,Alg5
Cdc20,Ccne2,Alg6
