geneid,b12_17_baseMean,b12_17_log2FoldChange,b12_17_lfcSE,b12_17_stat,b12_17_pvalue,b12_17_padj
Aaas,1097.036749,0.90780871,0.067987532,13.35257641,1.14421905504064e-40,2.24310112865514e-39
Aacs,1451.649951,0.209720861,0.05698349,3.680379355,0.000232887,0.000604238
Aagab,890.6258513,-0.017962962,0.073065605,-0.245847028,0.805800651,0.854709572
Aamdc,122.0217863,-0.571722246,0.176345359,-3.242060064,0.00118669,0.002769024
Aamp,1375.828607,0.214980044,0.058216621,3.692760606,0.000221833,0.000577129
Aar2,660.2600897,0.410140823,0.083665083,4.902174322,9.47816687340636e-07,3.28658887124276e-06
Aars1,8648.259821,-0.480388242,0.03372582,-14.24393077,4.88974714076706e-46,1.10882777920291e-44
Aars2,770.3286008,-0.470431041,0.073418022,-6.407568994,1.47858184616794e-10,7.22475926458031e-10
Aasdh,612.8146243,-0.231924831,0.081378447,-2.849954012,0.004372555,0.009264726
Aasdhppt,4451.561008,0.279750965,0.04397975,6.36090402,2.00569750972245e-10,9.71730260221192e-10
Abca1,2109.066491,-0.04595074,0.05852588,-0.785135397,0.432374188,0.526430659
Abca12,4.306394729,1.158536491,0.976368864,1.186576645,0.235394653,0.318783758
Abca2,2111.128847,-0.568173946,0.057108776,-9.948977764,2.54786858788951e-23,2.57240195150082e-22
Abca7,488.5309063,-1.719789586,0.120383986,-14.2858668,2.68053343083395e-46,6.15177039779141e-45
Abcb1,1190.471489,0.323548224,0.061995338,5.218912165,1.79977084611309e-07,6.70237243409141e-07
Abcb10,307.0079085,0.257633419,0.114623989,2.247639622,0.024599179,0.044309538
Abcb1b,529.09638,-0.00597525,0.090821217,-0.065791342,0.94754395,0.962363796
Abcb6,557.0698638,-0.096695231,0.087409026,-1.106238513,0.268623297,0.356118277
Abcc1,1888.506283,-0.235761662,0.056240808,-4.192003486,2.76501746894459e-05,8.1404906369314e-05
Abcc10,163.737681,-0.090606434,0.167950447,-0.539483135,0.589553531,0.672254545
Abcc2,47.33421549,-0.119466401,0.296714604,-0.402630674,0.68721994,0.757545978
Abcc4,4817.706604,-0.184193057,0.045881938,-4.014500365,5.95718516763651e-05,0.00016712
Abcc5,2601.027332,-0.079233253,0.045604768,-1.737389662,0.082318415,0.129091268
Abcd2,186.0520377,0.75575505,0.144145792,5.242990729,1.5799448086734e-07,5.92621897549336e-07
Abcd3,1536.158527,0.531053776,0.055152888,9.628757336,6.04561416462909e-22,5.82460590881049e-21
Abcd4,254.000839,-0.145161659,0.125821208,-1.15371376,0.248617541,0.333408745
Abce1,7938.310465,-0.151418298,0.035987563,-4.207517457,2.58191463560744e-05,7.63485184226582e-05
Abcf1,4939.169797,0.513493107,0.039546232,12.98462794,1.49563200822828e-38,2.77493152955211e-37
Abcf3,1096.530103,-0.092013666,0.06666236,-1.380294144,0.167496097,0.238603128
Abhd10,400.6924328,-0.287427362,0.107601472,-2.671221457,0.007557577,0.015239157
Abhd11,310.4655382,-0.663481533,0.112559675,-5.894486904,3.75847403391888e-09,1.63391402562415e-08
Abhd12,634.7252731,-0.55174124,0.082804755,-6.663158938,2.68003552203952e-11,1.38535169522341e-10
Abhd13,438.68038,-0.325849879,0.104393057,-3.121375015,0.001800086,0.004077128
Abhd14a,232.3360157,-1.327415133,0.140171683,-9.469923655,2.80048301095522e-21,2.61706625774385e-20
Abhd14b,458.9101808,-0.042696461,0.095112236,-0.448906083,0.653499408,0.728454573
Abhd16a,983.3664366,0.131117849,0.073424247,1.78575682,0.074138641,0.117897666
Abhd17a,705.7617168,0.536934795,0.078980032,6.798361316,1.0581580458986e-11,5.61833089403514e-11
Abhd17b,716.5125581,-0.151098404,0.075508408,-2.00108052,0.045383713,0.076649987
Abhd17c,1073.462701,0.270384297,0.067592345,4.000220716,6.32834329208128e-05,0.000176708
Abhd18,107.8836596,-0.553538298,0.19416439,-2.850874446,0.004359918,0.009243551
Abhd2,7002.256826,-0.309483759,0.04513393,-6.857008818,7.03172922100213e-12,3.77126387925074e-11
Abhd4,2367.022024,-0.685040229,0.04697203,-14.58400298,3.550714209718e-48,8.61594749530085e-47
Abhd5,2179.077071,0.058409897,0.050532444,1.155889019,0.247726555,0.33242536
Abhd6,48.48615338,0.515812916,0.276136457,1.867963836,0.061767112,0.10081924
Abhd8,1347.613547,0.415816831,0.06442431,6.454346711,1.08686725776801e-10,5.36810971868217e-10
Abi1,2077.544536,0.151827967,0.052415887,2.896602075,0.003772279,0.008102495
Abi2,556.5948882,-0.169661309,0.085444748,-1.985625957,0.047074872,0.079248595
Abi3bp,19.81074297,0.307602298,0.422492195,0.728066225,0.466573048,0.559779904
Abitram,267.4166756,0.209098875,0.120712991,1.7321986,0.083238208,0.130426307
Abl2,1126.12988,-0.365818311,0.070955678,-5.155588936,2.52835002712511e-07,9.30045460573315e-07
Ablim2,25.85699754,1.393998349,0.396309489,3.517448832,0.000435716,0.001085161
Abracl,958.7919271,-0.401445865,0.068804827,-5.834559601,5.39328271905729e-09,2.31293914431917e-08
Abraxas1,368.5367446,0.589341542,0.104101204,5.661236557,1.50286086302887e-08,6.19408467492137e-08
Abraxas2,1049.69048,0.169694939,0.067075165,2.529922056,0.011408787,0.022148976
Abt1,600.8149033,0.455247778,0.088204554,5.161272913,2.45276296773381e-07,9.02531486098831e-07
Abtb2,62.52817466,1.292691195,0.25203615,5.128991206,2.9129894827207e-07,1.06468042206636e-06
Acaa2,3416.782751,0.72357038,0.047282755,15.30305047,7.29554599080324e-53,2.01206407888433e-51
Acacb,157.3181819,-0.879761211,0.156327739,-5.627671825,1.82658179028444e-08,7.45837916440188e-08
Acad10,506.9290613,-0.810479647,0.089616394,-9.043877047,1.51211326909171e-19,1.28299499275791e-18
Acad11,439.6467742,-0.261800816,0.09532141,-2.746505902,0.00602338,0.012388197
Acad8,242.210675,-0.2617372,0.124129641,-2.108579368,0.034980905,0.060768622
Acad9,955.3300107,0.019674857,0.070781119,0.277967589,0.781037239,0.835342935
Acadl,2234.621583,0.116329565,0.050528166,2.302271676,0.021319856,0.038924063
Acadm,677.3574368,0.394473133,0.078210394,5.04374308,4.56512174471909e-07,1.63230683949082e-06
