geneid,wt1_1_baseMean,wt1_1_log2FoldChange,wt1_1_lfcSE,wt1_1_stat,wt1_1_pvalue,wt1_1_padj
Aaas,1055.897481,0.50720442,0.062193977,8.155201658,3.48597730630459e-16,1.93462437794817e-15
Aacs,1793.418878,-0.062031918,0.055688085,-1.113917241,0.265314692,0.349254166
Aagab,788.9805084,0.402399594,0.072236356,5.570596562,2.53868567224348e-08,8.67049469069005e-08
Aamdc,134.7126389,0.219074133,0.161271952,1.358414349,0.174332244,0.243856207
Aamp,1515.075144,0.114986351,0.055111465,2.086432489,0.036939465,0.061879554
Aar2,605.6211966,-0.332972843,0.081914053,-4.064904967,4.80520373317764e-05,0.000121975
Aars1,6196.907588,-0.16264482,0.036371933,-4.471712268,7.75957857255404e-06,2.14952917686784e-05
Aars2,707.4093427,-0.022657163,0.075668448,-0.299426817,0.764614403,0.820975754
Aasdh,587.4072274,-0.019164295,0.078723789,-0.243437149,0.807666769,0.85569586
Aasdhppt,3715.963776,0.210631061,0.041939336,5.022279333,5.1061847441853e-07,1.56580539152792e-06
Abca1,2743.78284,-0.872722856,0.045678857,-19.10561923,2.26722038350825e-81,7.62719610193158e-80
Abca12,0.15233837,0.682106313,4.080472857,0.167163546,0.867241367,0.902053006
Abca2,1604.12728,0.091633509,0.055540624,1.64984659,0.098974317,0.149270601
Abca7,817.9673128,-1.070278805,0.087594173,-12.2186073,2.47284692985609e-34,2.70664336686067e-33
Abcb1,1967.636574,0.669666873,0.050512122,13.25754782,4.08020580220583e-40,5.32148163804222e-39
Abcb10,267.3244933,0.034331441,0.11609703,0.295713342,0.767449007,0.823228148
Abcb1b,1032.486432,0.576885215,0.065228143,8.844115275,9.22563354239124e-19,5.71629449934296e-18
Abcb6,450.2076058,0.525125729,0.090929919,5.775059912,7.69257082516225e-09,2.74618055862066e-08
Abcc1,1711.768061,-0.125061923,0.051816178,-2.413569057,0.015797134,0.028396608
Abcc10,227.0211866,-0.115914996,0.132331768,-0.875942325,0.381061389,0.473090216
Abcc2,89.25934872,1.189586188,0.213958608,5.55988935,2.69945738743508e-08,9.19487599686792e-08
Abcc4,4203.975391,0.36803591,0.038303713,9.608361123,7.37128629278535e-22,5.14102272054139e-21
Abcc5,3005.856651,-0.531374851,0.044647596,-11.90153344,1.16192246536839e-32,1.19622584688422e-31
Abcd2,121.4919826,0.680545109,0.18559524,3.666824151,0.000245582,0.000575136
Abcd3,1321.673511,0.054440342,0.057420447,0.948100271,0.34307841,0.433767193
Abcd4,264.6752105,-0.322166394,0.122285676,-2.634539091,0.00842516,0.015902142
Abce1,7131.726569,-0.203350848,0.034058959,-5.970553766,2.3644964316487e-09,8.84116057051252e-09
Abcf1,4207.282162,0.450791636,0.04388329,10.27251227,9.37314172703138e-25,7.31808840094095e-24
Abcf3,1053.431455,0.245988714,0.065659867,3.746408971,0.000179384,0.000426657
Abhd10,344.6814731,0.032935498,0.102391394,0.321662751,0.747708199,0.807276419
Abhd11,250.9117541,-0.244660662,0.117666417,-2.079273488,0.03759222,0.06289013
Abhd12,939.6878557,0.423206821,0.069297443,6.107105907,1.01453922848604e-09,3.87844241157197e-09
Abhd13,556.1097144,-0.267785719,0.080763732,-3.31566797,0.000914244,0.001979391
Abhd14a,258.0065372,-0.532835662,0.119919077,-4.44329355,8.85921620527128e-06,2.43527313039877e-05
Abhd14b,462.264581,0.05656669,0.091277352,0.61972317,0.535440058,0.619561294
Abhd16a,1237.904042,0.129777675,0.059715584,2.173263078,0.029760523,0.050715265
Abhd17a,720.4517287,0.044314519,0.073284011,0.604695606,0.545381268,0.628852786
Abhd17b,623.2894696,0.063546033,0.082024096,0.774723966,0.438502786,0.529853673
Abhd17c,891.822359,0.182166534,0.067985278,2.679499715,0.007373227,0.014051144
Abhd18,151.7690435,-0.829092377,0.151078148,-5.487837836,4.06883328285455e-08,1.36679339469282e-07
Abhd2,6323.746479,-0.028482653,0.035425393,-0.804017971,0.421386596,0.513402204
Abhd4,1894.289664,-0.728324905,0.050816797,-14.33236539,1.37361155590502e-46,2.15224232553995e-45
Abhd5,2128.574686,-0.268964743,0.051066814,-5.266918379,1.38732851133716e-07,4.46867460227386e-07
Abhd6,176.8094588,0.590877971,0.137680491,4.291660835,1.77341681311309e-05,4.72718282647111e-05
Abhd8,1087.828431,0.020661466,0.064511469,0.320275852,0.748759227,0.808152669
Abi1,2067.56349,0.055043876,0.050255415,1.095282503,0.27339289,0.35848537
Abi2,548.6570017,-0.474016282,0.087261082,-5.432161377,5.56755367510797e-08,1.85282743485263e-07
Abi3bp,23.09332174,0.024166628,0.389846016,0.061990187,0.950570646,0.962690548
Abitram,217.9731797,0.748863787,0.126669043,5.911971607,3.38036817673151e-09,1.24563953625822e-08
Abl2,935.0913651,-0.356773853,0.067809088,-5.261445962,1.42926897423089e-07,4.59729429900251e-07
Ablim2,9.553496659,-0.975782651,0.607103974,-1.60727436,0.107994196,0.16064997
Abracl,927.0960323,-0.754526179,0.073428269,-10.27569063,9.0692524749722e-25,7.08566323830137e-24
Abraxas1,321.8812899,0.876837955,0.106949967,8.198580861,2.43241424202005e-16,1.36048675306726e-15
Abraxas2,1050.560641,0.39416814,0.066641098,5.914790608,3.32298047613872e-09,1.22567722302724e-08
Abt1,681.3352257,0.722988875,0.080470625,8.984506791,2.59897322506325e-19,1.65426019745539e-18
Abtb2,135.3821023,1.03892746,0.166754586,6.230278179,4.65607663069891e-10,1.81513989440812e-09
Acaa2,2554.465504,-0.025357844,0.049644571,-0.510787859,0.609499612,0.686707699
