sample_names,treatment
B12_17_R1,treated
B12_17_R2,treated
B12_17_R3,treated
B12_21_R1,treated
B12_21_R2,treated
B12_21_R3,treated
B12_R1,control
B12_R2,control
B12_R3,control
clone1-wt_R1,control
clone1-wt_R2,control
clone1-wt_R3,control
clone1_1_R1,treated
clone1_1_R2,treated
clone1_1_R3,treated
clone1_3_R1,treated
clone1_3_R2,treated
clone1_3_R3,treated
